Channel,Energy (MeV),gdE
1,6.8,0.039227244
2,6.8,0.041034726
3,6.9,0.041318251
4,7,0.043823614
5,7.1,0.050686638
6,7.2,0.051889473
7,7.3,0.05695628
8,7.5,0.072018401
9,7.6,0.069800992
10,7.7,0.075467536
11,7.9,0.077679768
12,8.1,0.083859783
13,8.2,0.086295094
14,8.4,0.101901633
15,8.6,0.099850529
16,8.9,0.121482936
17,9.1,0.125365794
18,9.4,0.136192429
19,9.6,0.138826262
20,9.9,0.149855189
21,10.2,0.161971246
22,10.6,0.178305325
23,10.9,0.180748487
24,11.3,0.188379177
25,11.7,0.206007822
26,12.1,0.218832723
27,12.6,0.234544447
28,13.1,0.265883301
29,13.6,0.254699883
30,14.1,0.267324019
31,14.7,0.290400499
32,15.3,0.304974355
33,16,0.350671678
34,16.7,0.341609612
35,17.4,0.335591504
36,18.2,0.355100677
37,19,0.355539288
38,19.8,0.375758787
39,20.8,0.414962627
40,21.7,0.412125823
41,22.7,0.427594168
42,23.8,0.451653146
43,24.9,0.433352598
44,26.1,0.441347502
45,27.4,0.490008723
46,28.7,0.505489489
47,30.1,0.466614938
48,31.6,0.405717512
49,33.1,0.527043656
50,34.5,0.179635942
51,95.1,3.626293657
52,32.3,0.318290237
53,34.6,0.38297956
54,37.2,0.719428002
55,39.4,1.173380209
56,48.8,4.099869513
57,54.7,6.794034468
58,63.4,11.963454
59,76.9,21.5241924
60,132.6,182.6650062
61,0.3,0.002238042
62,0.31,0.002604523
63,0.31,0.002872516
64,0.31,0.003084774
65,0.32,0.003643534
66,0.32,0.003779448
67,0.33,0.004340866
68,0.34,0.005026767
69,0.35,0.005637383
70,0.36,0.006287388
71,0.37,0.006863423
72,0.39,0.007798759
73,0.4,0.008369986
74,0.42,0.009217481
75,0.44,0.010284182
76,0.47,0.011853426
77,0.49,0.01248133
78,0.52,0.013960533
79,0.56,0.016007406
80,0.59,0.016674538
81,0.63,0.018696084
82,0.68,0.021319528
83,0.72,0.022054623
84,0.78,0.025773684
85,0.83,0.02695528
86,0.89,0.028412025
87,0.96,0.031429651
88,1.03,0.032953153
89,1.11,0.035048185
90,1.2,0.037400263
91,1.29,0.038294964
92,1.4,0.042150858
93,1.51,0.043811522
94,1.63,0.045512723
95,1.76,0.046391661
96,1.9,0.04734429
97,2.05,0.04618384
98,2.22,0.047047246
99,2.4,0.044298594
100,2.64,0.051747755
101,2.86,0.044918806
102,3.09,0.03500879
103,3.34,0.026060815
104,3.61,0.017575034
105,3.91,0.011597214
106,4.23,0.006986519
107,4.58,0.004200012
108,4.96,0.002331129
109,5.37,0.001096261
110,5.83,0.000673016
111,5.96,0.004424633
112,5.56,0.007803507
113,5.15,0.012853225
114,4.74,0.019612248
115,4.32,0.027737577
116,3.91,0.037872526
117,3.51,0.048398806
118,3.12,0.052211454
119,2.76,0.044304256
120,4.03,0.227510362
